ticker,in_orats,in_polygon,source
NIM,0,1,polygon
NINE,1,1,both
NIO,1,1,both
NIOBW,0,1,polygon
NIOG,1,0,orats
NIQ,1,0,orats
NISN,0,1,polygon
NITE,1,0,orats
NIU,1,1,both
NIWM,1,0,orats
NIpB,0,1,polygon
NJAN,0,1,polygon
NJR,1,1,both
NJUL,0,1,polygon
NK,1,0,orats
NKA,1,0,orats
NKE,1,1,both
NKEL,1,0,orats
NKEQ,1,0,orats
NKGN,0,1,polygon
NKGNW,0,1,polygon
NKLA,1,1,both
NKLR,1,0,orats
NKSH,0,1,polygon
NKTR,1,1,both
NKTX,1,1,both
NKX,0,1,polygon
NKY,1,0,orats
NL,1,1,both
NLC,1,0,orats
NLNK,1,0,orats
NLOK,1,0,orats
NLOP,1,1,both
NLR,1,1,both
NLS,1,0,orats
NLSN,1,0,orats
NLSP,0,1,polygon
NLSPW,0,1,polygon
NLST,1,0,orats
NLTX,1,0,orats
NLY,1,1,both
NLYpF,0,1,polygon
NLYpG,0,1,polygon
NLYpI,0,1,polygon
NM,1,0,orats
NMAI,0,1,polygon
NMAX,1,0,orats
NMBL,1,0,orats
NMCI,1,0,orats
NMCO,0,1,polygon
NMFC,1,1,both
NMFCZ,0,1,polygon
NMG,1,1,both
NMI,0,1,polygon
NMIH,1,1,both
NML,0,1,polygon
NMM,1,1,both
NMR,1,1,both
NMRA,1,1,both
NMRD,1,1,both
NMRK,1,1,both
NMRX,1,0,orats
NMS,0,1,polygon
NMT,0,1,polygon
NMTC,1,1,both
NMTI,1,0,orats
NMTR,1,0,orats
NMX,1,0,orats
NMZ,0,1,polygon
NMpG,0,1,polygon
NMpH,0,1,polygon
NN,1,1,both
NNA,1,0,orats
NNAG,0,1,polygon
NNAGR,0,1,polygon
NNAGU,0,1,polygon
NNAGW,0,1,polygon
NNAVW,0,1,polygon
NNBR,1,1,both
NNDM,1,1,both
NNDS,1,0,orats
NNE,1,0,orats
NNEX,1,0,orats
NNI,1,1,both
NNN,1,1,both
NNOX,1,1,both
NNVC,1,1,both
NNY,0,1,polygon
NOA,1,1,both
NOAH,1,1,both
NOBL,1,1,both
NOBLQ,1,0,orats
NOC,1,1,both
NOCT,0,1,polygon
NODK,0,1,polygon
NOG,1,1,both
NOK,1,1,both
NOM,0,1,polygon
NOMD,1,1,both
NOOF,1,0,orats
NOR,1,0,orats
NORD,1,0,orats
NORN,1,0,orats
NORNQ,1,0,orats
NORW,0,1,polygon
NOTE,1,1,both
NOTE.WS,0,1,polygon
NOTV,1,1,both
NOV,1,1,both
NOVA,1,1,both
NOVL,1,0,orats
NOVN,1,0,orats
NOVS,1,0,orats
NOVT,1,1,both
NOVZ,0,1,polygon
NOW,1,1,both
NP,1,0,orats
NPA,1,0,orats
NPAB,0,1,polygon
NPBC,1,0,orats
