ticker,side,entry_date,expiry,strike,contracts,entry_straddle,pnl,hedge_cost
EEM,1,2018-11-16,2018-12-14,41.0,110.5205140441733,2.23,1912.0270391863855,190.17050650667423
QQQ,1,2018-11-16,2018-12-14,168.0,26.975717753712562,8.46,-6222.21989417478,191.55181031182423
SPY,-1,2018-11-16,2018-12-17,274.0,15.72930891205026,10.2,6681.655761108839,176.63746982709588
XLF,-1,2018-11-16,2018-12-14,27.0,169.3026525323783,1.17,9167.925119547655,142.48666852199804
XLK,-1,2018-11-16,2018-12-14,68.5,66.16413681473144,3.4,11315.545301544365,177.17976635326048
EEM,1,2018-11-26,2018-12-28,40.0,105.38082945672389,2.33,5146.506445787058,166.39263141410956
GLD,-1,2018-11-26,2018-12-28,115.5,36.91619528992171,2.76,-1398.641548507405,129.2727689324523
QQQ,1,2018-11-26,2018-12-28,162.5,26.06521767688847,9.28,-6558.635014335904,175.88959415100686
XLF,-1,2018-11-26,2018-12-28,26.5,159.5372653525901,1.34,4160.556570590143,112.2066850421689
XLK,-1,2018-11-26,2018-12-28,65.5,64.57721491129222,3.6799999999999997,5545.960302351817,170.13469021470505
QQQ,1,2018-12-03,2019-01-04,172.0,24.62604125058918,8.14,-5918.953586842013,97.26823968131933
XLF,-1,2018-12-03,2019-01-04,27.0,156.91083980878216,1.13,6482.172558851777,81.07976978355403
EEM,1,2018-12-11,2019-01-11,40.0,111.60288301495633,2.19,5036.7041700640575,200.48097309232168
GLD,-1,2018-12-11,2019-01-11,117.5,36.7892194048711,2.7,-234.00412431428904,125.94263510730458
QQQ,1,2018-12-11,2019-01-11,164.0,26.260443515781787,9.370000000000001,-61.52974857623607,127.22140349045412
SPY,-1,2018-12-11,2019-01-11,265.0,16.36173090620363,11.85,-739.083138899269,112.9482647009989
XLK,-1,2018-12-11,2019-01-11,66.0,65.24359937454877,3.93,-423.851969749927,111.64947240763368
EEM,1,2018-12-18,2019-01-18,39.0,110.44407796645062,2.2800000000000002,4797.076736335536,148.98889218625823
HYG,1,2018-12-18,2019-01-18,82.0,52.56573897599207,1.5,-3073.7482349003303,150.55087967187205
QQQ,1,2018-12-18,2019-01-18,159.0,27.106523868053248,10.24,3455.6974845416735,189.37017984744884
SPY,-1,2018-12-18,2019-01-16,256.0,17.551309410173154,12.629999999999999,-5801.185881351102,185.6583713058838
TLT,-1,2018-12-18,2019-01-18,120.0,35.78562691766228,2.99,-4536.319441787169,128.02046861994157
XLK,-1,2018-12-18,2019-01-18,64.0,67.3890594131599,4.12,-3993.7950384265973,155.7092489192817
QQQ,1,2018-12-26,2019-01-25,151.5,28.933572741287623,11.100000000000001,6742.436365820606,120.37469395658096
SPY,-1,2018-12-26,2019-01-25,245.0,17.88291661070804,15.09,-7490.998223797189,114.64069136070935
TLT,1,2018-12-26,2019-01-25,120.0,36.520752625513424,3.02,4553.252282861104,170.28094510740974
XLF,-1,2018-12-26,2019-01-25,23.0,190.40177058414503,1.69,-8818.396858332702,98.55668919500417
EEM,1,2019-01-03,2019-02-01,38.5,115.70616281106733,2.1100000000000003,424.9085017185829,99.66783438097549
QQQ,1,2019-01-03,2019-02-01,150.0,29.689495969146197,10.370000000000001,2333.5759755567774,109.69948127106429
SPY,-1,2019-01-03,2019-02-01,245.0,18.180507863033288,12.77,-2566.513480792038,107.72636501252889
XLE,-1,2019-01-03,2019-02-01,58.0,76.83618111271392,4.109999999999999,-5657.806440562369,105.500748123161
XLF,-1,2019-01-03,2019-02-01,23.5,189.48157462220217,1.4300000000000002,-4874.8553787945075,93.66908013137895
GLD,-1,2019-01-10,2019-02-08,121.5,36.925066559278726,2.63,-1066.427495778191,133.78361744094963
QQQ,1,2019-01-10,2019-02-08,161.5,27.585617896048234,8.78,4645.554676780171,166.81137090755635
XLF,-1,2019-01-10,2019-02-08,24.5,181.81910744272878,1.24,-6265.755346536308,94.64538452195757
HYG,1,2019-01-17,2019-02-15,84.0,52.916246070704155,1.31,454.5573800700852,156.60261389322392
QQQ,1,2019-01-17,2019-02-15,163.0,27.326339065761655,7.89,790.7016341478904,166.2457186540248
SPY,-1,2019-01-17,2019-02-15,263.0,16.927018314187464,8.68,-671.663117699463,150.94074026590653
XLE,-1,2019-01-17,2019-02-15,63.0,71.42195979572176,2.99,-1637.8528750624032,215.37641288349303
XLF,-1,2019-01-17,2019-02-15,26.0,186.28329068687867,1.03,-2369.9470838096304,189.04775279015118
XLK,1,2019-01-17,2019-02-15,64.0,69.56532385649565,3.24,424.52970613241735,146.76355080334733
IWM,1,2019-01-25,2019-02-22,147.5,30.72950555549512,6.0,4607.364254652466,113.8724825697635
QQQ,1,2019-01-25,2019-02-22,165.0,27.4767138971229,7.14,2563.9890979982965,143.46517511706594
TLT,-1,2019-01-25,2019-02-22,120.5,37.5530295718842,2.44,-2282.2172403255113,144.12648892317065
XLE,-1,2019-01-25,2019-02-22,63.0,71.96244021180561,2.88,-2770.903879998876,158.18284916283937
XLF,-1,2019-01-25,2019-02-22,26.0,174.36183568140606,0.97,-5672.719172827468,165.35133909889802
EEM,1,2019-02-01,2019-03-01,42.5,107.85210801259194,1.71,9095.72322987728,165.8276230387634
IWM,-1,2019-02-01,2019-03-01,149.0,30.433468147510535,5.43,-2148.322151791051,119.38972315952233
QQQ,1,2019-02-01,2019-03-01,167.5,27.060235054943373,6.65,4329.421626372067,124.02018386672034
XLE,-1,2019-02-01,2019-03-01,65.0,69.7169505750045,2.73,-3466.597439631067,152.04139089778286
XLF,-1,2019-02-01,2019-03-01,26.0,174.51690231102262,0.95,-4969.50411367753,142.99939404241178
EEM,1,2019-02-08,2019-03-08,42.0,108.02990613497516,1.6400000000000001,4412.853268855345,146.94906234362676
GLD,-1,2019-02-08,2019-03-08,124.0,36.833546697791505,2.38,3251.4365447717196,193.74740269718802
QQQ,1,2019-02-08,2019-03-08,168.0,26.98304612039382,6.8100000000000005,5680.766059213524,114.6818361466397
EEM,1,2019-02-15,2019-03-15,42.0,108.00736351001466,1.54,449.6507729006702,180.26091595860643
HYG,1,2019-02-15,2019-03-15,85.0,53.36618413318749,1.0499999999999998,1514.7625984592844,153.57169030664107
QQQ,1,2019-02-15,2019-03-15,172.0,26.35020283859141,6.15,1060.738791651361,177.17919239368723
TLT,-1,2019-02-15,2019-03-15,122.0,37.24858693760593,2.25,-260.5899445577287,227.71069136506236
XLE,-1,2019-02-15,2019-03-15,66.0,68.59337217913186,2.84,-5882.340726011492,141.74645498477636
XLF,-1,2019-02-15,2019-03-15,26.0,182.0958282938313,1.09,-8278.397516395009,166.1423578933261
GLD,-1,2019-02-25,2019-03-29,125.0,34.756967120951806,2.7,2762.527243296342,218.19146822118358
QQQ,1,2019-02-25,2019-03-29,174.0,24.32540660768534,6.449999999999999,897.0549270211122,161.44587579028988
SPY,1,2019-02-25,2019-03-27,280.0,15.622512603071481,7.3999999999999995,2939.3136522169457,168.5093365915646
TLT,-1,2019-02-25,2019-03-29,121.0,35.0237327818076,2.55,371.39656133489433,187.12501405502394
XLF,-1,2019-02-25,2019-03-29,27.0,170.9151033916735,1.05,-746.9159631971987,157.38841014428994
EEM,1,2019-03-04,2019-04-05,42.5,99.84406354156079,1.74,-2117.946600279721,207.98397990019197
QQQ,1,2019-03-04,2019-04-05,174.0,24.35889222578647,6.390000000000001,-1086.669474727279,156.64472852867172
SPY,-1,2019-03-04,2019-04-03,279.0,15.755276938537941,7.460000000000001,92.44537392772176,194.24416793058128
TLT,-1,2019-03-04,2019-04-05,119.5,35.473363299811716,2.67,-330.18967456240017,110.4664561890129
XLF,-1,2019-03-04,2019-04-05,26.5,159.86898417009292,1.02,-1961.755613239875,159.0930912298753
GLD,-1,2019-03-11,2019-04-12,122.0,34.97261644132644,2.7,-2095.380675454103,195.07592407444966
IWM,1,2019-03-11,2019-04-12,154.0,27.505867001431405,5.63,450.8777369878087,177.30482935360115
QQQ,1,2019-03-11,2019-04-12,174.5,24.29548912456161,6.49,285.1665191347396,117.87970760087293
XLE,-1,2019-03-11,2019-04-12,65.0,65.76354900094647,2.9299999999999997,-3891.9407100306416,166.64846997157437
XLF,-1,2019-03-11,2019-04-12,26.0,164.81545942638945,1.0,1927.8822916996066,175.40491967553774
GLD,-1,2019-03-18,2019-04-18,123.0,35.17523033444328,2.65,-363.97811885398266,191.57038559368897
SPY,1,2019-03-18,2019-04-17,283.0,15.454312909284296,7.050000000000001,828.261212286371,145.80951060580037
XLF,-1,2019-03-18,2019-04-18,27.0,159.30461623358644,0.9099999999999999,-986.9208621502073,172.0812548169733
GLD,-1,2019-03-25,2019-04-26,125.0,33.921376220084056,2.87,515.0458517006438,110.42484131580204
QQQ,1,2019-03-25,2019-04-26,178.5,23.764299216481547,7.93,6223.151727949731,93.23617081283976
TLT,-1,2019-03-25,2019-04-26,125.0,33.8755820333127,3.22,-2651.7543939610896,137.5055111439147
XLF,-1,2019-03-25,2019-04-26,25.5,167.63475739059737,1.1600000000000001,-2349.4553397202285,103.78459114720846
QQQ,1,2019-04-01,2019-05-03,182.0,23.314277486344128,6.73,4086.897831487762,96.88148376818037
TLT,-1,2019-04-01,2019-05-03,124.5,34.14862259140374,2.77,-2330.258768686711,182.70666830397928
XLF,-1,2019-04-01,2019-05-03,26.5,160.78100983336657,1.02,-3020.7791951624154,107.7395337029153
GLD,-1,2019-04-08,2019-05-10,122.5,34.75124433780601,2.58,-808.6839038769268,169.6577282666761
IWM,-1,2019-04-08,2019-05-10,157.0,27.015125768918015,5.66,-2951.221470433275,176.90485856230902
QQQ,1,2019-04-08,2019-05-10,185.0,22.94446608617473,6.779999999999999,6679.628048063308,125.91888674643657
TLT,-1,2019-04-08,2019-05-10,123.5,34.225618011984444,2.64,-1234.9912554846444,218.40380971514702
GLD,-1,2019-04-15,2019-05-17,122.0,34.90448179130917,2.56,-900.0819519430931,180.0816210486032
QQQ,1,2019-04-15,2019-05-17,186.0,22.798582548286944,6.42,-5443.975523222908,161.74028817773117
TLT,-1,2019-04-15,2019-05-17,123.0,34.6229385415835,2.41,-1397.667050041849,169.73164287297547
XLF,-1,2019-04-15,2019-05-17,27.0,157.049381351077,1.07,-4862.088346087824,161.16973284643842
XLK,1,2019-04-15,2019-05-17,77.0,54.99441696678953,2.67,-5229.9123381294685,154.50113387488904
GLD,-1,2019-04-23,2019-05-24,120.0,36.052301795260426,2.42,-1871.951168000823,180.38834398077987
TLT,-1,2019-04-23,2019-05-24,122.5,35.027999631505445,2.49,-749.6047812378862,126.8174561896052
XLF,-1,2019-04-23,2019-05-24,27.5,156.44942412531472,0.9199999999999999,709.3900923796394,146.43322740831204
GLD,-1,2019-04-30,2019-05-31,121.0,35.939777009497156,2.38,-69.83666381255118,200.8152277482105
QQQ,1,2019-04-30,2019-05-31,189.5,22.7419143852433,6.4399999999999995,-6854.337232102529,138.39661469775356
TLT,-1,2019-04-30,2019-05-31,123.5,34.9093947604629,2.41,135.5078626499694,120.6704718535325
XLF,-1,2019-04-30,2019-05-31,28.0,153.79660767746515,0.91,2761.5074824547414,109.43374970832474
XLK,1,2019-04-30,2019-05-31,78.5,54.95095462446902,2.79,-6010.413832814806,125.31770765938276
EEM,-1,2019-05-07,2019-06-07,42.5,101.34755766574683,2.08,-1975.3842997836516,102.21043075144345
GLD,-1,2019-05-07,2019-06-07,121.5,35.37496150319814,2.46,2904.261496774063,157.93320404256568
