ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
IWM,us_small_cap_equity,xsec,2017-12-06,2018-01-05,30,22,95,145.0,140.0,5.0,0.5899999999999999,4.41,441.0,NaN,0.00007430518129319269,0.05,0.6501888483220504,1.0,90.70294784580499,91.0,150.21,154.845,false,2018-01-05,expiry,5368.999999999999,118.3,5250.699999999999,0.0026253499999999994
QQQ,us_large_cap_equity,xsec,2017-12-06,2018-01-05,30,22,95,148.5,141.0,7.5,0.75,6.75,675.0,NaN,0.00034344907121449547,0.21000585706977978,1.3230966606461285,1.0,59.25925925925926,59.0,153.375,161.9,false,2018-01-05,expiry,4425.0,76.7,4348.3,0.00217415
IWM,us_small_cap_equity,xsec,2017-12-13,2018-01-12,30,22,95,147.5,142.5,5.0,0.5900000000000001,4.41,441.0,NaN,0.00028349426726916494,0.19291054492385423,0.6558051830096246,1.0,90.70294784580499,91.0,151.735,158.0,false,2018-01-12,expiry,5369.000000000001,118.3,5250.700000000001,0.0026253500000000003
XLB,us_materials_sector,xsec,2017-12-20,2018-01-19,30,22,95,59.0,57.0,2.0,0.21999999999999997,1.78,178.0,NaN,0.00021148825120473737,0.23703928636370347,0.7003366085669119,1.0,224.7191011235955,225.0,59.94,63.26,false,2018-01-19,expiry,4949.999999999999,292.5,4657.499999999999,0.0023287499999999997
XLU,us_utilities_sector,xsec,2017-12-20,2018-01-19,30,22,95,52.0,50.0,2.0,0.25,1.75,175.0,NaN,0.0002683447056984901,0.20560004552606934,0.7008290085718565,1.0,228.57142857142858,229.0,53.025,49.99,true,2018-01-19,expiry,-40075.00000000001,297.7,-40372.700000000004,-0.020186350000000002
EWZ,latam_equity,xsec,2017-12-28,2018-01-26,29,22,95,38.5,36.0,2.5,0.30999999999999994,2.19,219.0,NaN,0.0014637618138440781,0.2825814161734539,0.7840975014093831,1.0,182.64840182648402,183.0,40.24,47.3,false,2018-01-26,expiry,5672.999999999999,237.9,5435.099999999999,0.0027175499999999996
QQQ,us_large_cap_equity,xsec,2017-12-28,2018-01-26,29,22,95,153.0,148.0,5.0,0.54,4.46,446.0,NaN,0.0006226041161327267,0.4741536242074519,1.2459311518639808,1.0,89.68609865470852,90.0,156.72,170.72,false,2018-01-26,expiry,4860.0,117.0,4743.0,0.0023715
QQQ,us_large_cap_equity,xsec,2018-01-05,2018-02-02,28,22,96,158.0,153.5,4.5,0.51,3.99,399.0,NaN,0.00047929017630143553,0.3780280183233885,1.2815066742566072,1.0,100.25062656641605,100.0,161.9,164.575,false,2018-02-02,expiry,5100.0,130.0,4970.0,0.002485
XLE,oil_and_energy,xsec,2018-01-05,2018-02-02,28,22,96,73.0,71.0,2.0,0.22999999999999998,1.77,177.0,NaN,0.0004921341851112607,0.28184400692622147,0.6134116886772759,1.0,225.98870056497177,226.0,75.01,72.275,true,2018-02-02,expiry,-11186.99999999987,293.8,-11480.79999999987,-0.0057403999999999355
QQQ,us_large_cap_equity,xsec,2018-01-12,2018-02-09,28,22,96,160.0,155.5,4.5,0.51,3.99,399.0,NaN,0.0007444836971240049,0.5050281627061795,1.2145819688900945,1.0,100.25062656641605,100.0,164.41,156.35,true,2018-02-09,expiry,-31400.00000000006,130.0,-31530.00000000006,-0.01576500000000003
USO,oil_and_energy,xsec,2018-01-12,2018-02-09,28,22,96,12.5,12.0,0.5,0.07999999999999999,0.42000000000000004,42.00000000000001,NaN,0.0010347161446027085,0.2954972478103986,0.45034578527399977,1.0,952.3809523809522,952.0,12.86,11.865,true,2018-02-09,expiry,-39984.0,1237.6000000000001,-41221.6,-0.0206108
EWZ,latam_equity,xsec,2018-01-22,2018-02-23,32,22,96,42.0,39.0,3.0,0.37000000000000005,2.63,263.0,NaN,0.004577129973613359,0.567439021822711,0.9392891769153251,1.0,152.0912547528517,152.0,44.63,46.69,false,2018-02-23,expiry,5624.000000000001,197.6,5426.400000000001,0.0027132000000000002
